"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","C"
"1871",343.86261,66.35678,1698.05731,12.9015,1.61378,24.97355,68.78419,58.86818,235.69808,12.63094,298.43783,8181.72804,3.58958,14.39323,150.94312,55395.37008,24.23204,499.37983,13.8735,83.22898,112.55085,20.76734,4580.37592,210.3153,33.34921,2.07264,12998.25932,116.9538,5.25854,13.91113,529.70642,101.34775,76.31483,28168.25051,3.76264,22.559037777336,-0.03082,-213.61657,78.52115,6.05369,12545.53809,3797.52358,-15.23943,173.24481,-0.44454,12.67038,-30.34075,253.61462,171.91507,13.99845,"1"
"1872",406.72464,70.45038,14334.75,24.13448,0.29403,6.59384,45.83035,52.2301,241.80291,11.27398,293.35695,29436.711,61.14587,50.12878,135.41457,76644.51,21.91889,4815.2892,17.15202,36.76907,-174.38094,15.38776,5954.8587,158.17353,24.62134,-173.90967,19280.394,95.11995,16.05257,-16.55365,690.207,39.06014,188.22717,14497.659,2.55332,18.12575,18.62972,-102.42084,107.20116,9.36675,12631.623,-5131.4955,-24.37867,550.17012,0.19602,17.68946,-66.29361,204.26898,114.24537,11.08223,"0"
"1873",400.26969,163.4541,7283.088,22.52091,0,6.46054,20.35555,53.95179,236.69139,11.06643,285.12939,11009.502,-45.8723,15.09803,107.09007,33090.813,12.29366,1385.9754,16.19561,53.62908,-30.44694,16.53302,2739.8382,185.11389,29.54476,-97.81371,10011.555,109.89423,9.87466,-40.05167,574.36221,65.73016,127.80663,26066.889,6.04379,23.42502,13.97381,-133.66197,75.39492,7.87614,9664.347,-1705.8249,77.7147,380.2176,0,15.69874,-14.69286,272.29125,262.60572,12.36356,"0"
"1874",370.63557,30.4092,17664.207,26.04046,0.60116,6.5805,53.52944,59.80044,221.97231,9.77344,252.97608,14695.551,22.40616,7.77444,198.78831,131001.33,40.20209,3105.0138,14.69507,31.40432,118.36122,23.71247,8876.988,145.19187,30.95561,21.22847,13604.592,137.18097,12.88513,9.39069,858.6498,31.82563,103.97817,24194.988,2.33974,14.16425,-21.41953,-178.5858,116.29398,6.86994,14828.376,-264.16581,-31.81231,212.27367,0.0668,19.55991,29.27304,388.82121,66.99976,13.8679,"0"
"1877",272.94882,76.25466,1813.2924,18.13237,0.98976,20.59153,69.96669,63.26093,228.31824,11.63568,303.13563,5510.3124,58.70272,38.15645,206.83647,72185.73,33.90488,1278.5769,17.10862,62.39201,-106.48494,23.75408,6355.0656,176.36952,33.5389,39.10361,13003.602,86.18928,13.20729,-17.09758,350.60832,55.17068,118.81938,31188.621,9.11159,15.22071,45.03989,-149.63409,94.11876,5.91123,8442.84,-1765.02,2.76593,347.06379,0,16.87367,-38.85425,69.59202,79.50387,12.25619,"1"
"1879",356.44089,103.94574,5462.3712,17.15409,0.36637,8.98608,71.5875,57.07646,237.99342,11.19863,292.84083,7792.653,52.31822,12.16801,137.08092,48526.527,19.66238,819.6165,14.8991,58.58335,8.84145,17.2195,3400.2303,194.74491,31.84102,-43.89463,2137.8408,111.92835,7.95818,0.43134,506.44827,72.12294,39.8426,28142.064,3.79335,20.13323,7.80638,-232.22502,93.8745,5.52316,11874.21,1562.7051,-4.82491,290.5107,0,13.01292,-20.48141,275.50941,212.61315,12.85498,"0"
"1880",316.49039,217.18967,4670.41688,17.42643,1.4517,0.32988,37.19975,56.37778,247.93199,9.96649,342.23263,141.48776,11.34771,34.39371,127.8369,22770.44957,8.76259,911.0418,18.50125,67.52818,-14.5468,21.17841,3115.83632229854,158.83452,33.32652,-51.63281,5823.16074,126.07767,7.41722,-11.70549,570.38216,79.16092,103.46476,32638.1467,2.6511,17.66892,-47.35626,-87.04387,64.25397,11.28998,10281.79792,-1014.52713,159.54349,598.0863,-0.27734,17.26309,12.83232,377.5467,180.15558,19.02118,"0"
"1881",366.7074,128.98998,9583.41,18.55879,0.15299,12.09542,43.42784,56.42151,230.95818,9.38793,294.52305,24286.827,61.77135,31.57419,119.87784,38360.895,15.57896,1629.8283,15.45234,84.04959,-86.69298,18.51222,2791.464,186.75402,34.21489,-52.78748,11456.829,118.43367,10.13175,-16.71235,695.52,67.24768,148.5087,10522.5,3.70364,19.37334,-32.35334,-126.11682,99.04398,6.86978,11372.373,-1874.454,38.93249,332.13081,0,16.9364,-16.16725,279.72393,68.41371,16.49742,"0"
"1882",486.58609,333.10175,1166.24726,19.91847,0.71738,10.15522,69.96882,40.6185,284.014262182983,5.55167,294.80197,3806.18574,22.53467,-0.28734,113.97745,21173.37268,4.24742,2125.44837,35.11762,30.34879,44.07855,15.51503,929.42816,401.87641,8.34787,84.81917,3581.98361,104.31304,17.1393,-99.13523,522.43667,77.59317,62.90956,30713.92506,-1.88365,22.79136,-7.7683,-157.21116,67.93062,3.88009,7812.07232,-2408.99033,152.55376,258.5478,0.205534415366873,3.94488,64.72637,522.66657,612.03843,19.76455,"0"
"1883",254.32848,69.30705,255.78921,16.75624,1.48707,29.62418,74.79048,58.47095,230.95818,16.97814,305.85423,13351.5,58.13899,26.07676,158.64204,78210.81,38.48116,393.5139,16.7543,82.41567,10.71522,20.62072,7179.588,291.40011,33.07287,-29.19839,359.42031,91.98873,10.69431,8.65902,400.56018,95.87205,49.59982,25489.635,5.93167,25.37861,53.48149,-244.06749,100.23906,6.00849,9699.882,-498.35595,32.07734,322.506,0.09914,9.77509,2.66979,93.63438,49.69263,13.7005,"1"
"1884",476.859,114.89397,7768.779,18.27838,1.45263,9.94449,91.46019,53.93889,260.60127,15.02296,309.5202,20508.387,60.40833,55.01066,131.62026,49094.259,19.81763,853.5024,14.67161,107.27016,-343.06386,23.09685,3577.4844,181.30233,33.61632,-452.84148,7462.695,106.14063,10.70866,-46.07441,489.42321,61.25558,150.82296,20370.801,5.78361,22.68824,55.22242,-122.80413,84.04269,6.2594,9469.353,-3082.7199,39.96501,1382.1045,0.880623041713017,13.30037,-87.2436,120.88938,142.97283,14.61517,"0"
"1885",282.5067,81.38205,9408.909,16.44132,1.98919,8.71429,51.63877,59.69494,236.56581,12.05051,302.38215,18186.261,59.94706,17.47418,149.14695,60852.066,32.33161,256.58478,15.41619,42.79525,32.44911,23.12432,5901.8667,217.90821,33.90522,-38.155,1930.7925,100.99185,11.43723,-22.6536,475.91922,78.4116,25.37917,25638.537,8.20217,20.37266,11.72027,-333.75162,91.78104,6.41459,9504.888,-328.4676,41.43002,342.27795,0,11.65217,18.11457,120.6465,49.57139,15.44924,"0"
"1886",461.04834,142.58367,22831.065,22.19157,0.17738,0,31.87317,51.71253,256.02726,9.88025,293.16513,-240.88107,-47.96742,41.98526,142.20072,41522.682,8.83821,3817.6527,16.31878,76.46649,-132.90159,18.44729,6238.9869,109.45401,21.70843,-103.11015,11843.574,120.17523,6.64691,-36.13013,879.7914,21.75756,286.50525,28527.912,0.65921,20.08438,-18.51511,-36.99325,59.86157,15.941,10076.829,-3314.3943,101.19057,490.10286,0,29.72451,-70.75329,463.42746,453.49146,9.96671,"0"
"1887",330.47683,73.34271,11789.56096,14.91886,-0.73144,14.85272,82.21619,61.59319,219.32956,11.15414,291.19738,-42.3636,26.41002,3.28623,178.69409,58560.42121,32.97893,2243.07976,14.95882,81.49883,26.90295,23.00921,10757.81225,194.76091,31.58555,35.59925,3168.18932,94.70497,10.69135,5.46879,360.826,95.61659,42.67393,34362.15353,8.60132,14.63344,69.82996,-191.8211,79.41333,7.99989,7763.1074,550.0803058677,124.6976,301.84872,-0.32725,12.7822,10.58182,118.48098,121.79951,20.69005,"1"
"1888",393.41799,74.89881,287.69757,15.81135,0.13477,9.37462,44.67626,56.69357,224.50737,8.37563,285.28671,408.14604,-52.64438,38.90579,143.58624,46378.281,18.78159,791.6715,15.36326,90.3003,-110.9451,19.54101,7464.765,140.68548,30.44163,-48.49361,16611.129,116.59137,5.57962,-1.98254,645.96351,78.57789,102.8031,27950.52,3.73716,20.89955,-8.71153,-126.99243,65.4269,11.41474,9534.834,-1074.6267,67.24788,257.14851,0,21.65427,-33.55822,263.75802,96.96984,17.36213,"0"
"1889",381.17394,81.27648,8325.816,19.58945,1.5309,13.94007,55.55135,56.5524,251.68923,11.75146,321.26952,17947.59,46.717,41.05804,136.50615,64021.443,26.5523,1416.6666,16.18381,44.41834,-72.68184,18.58957,4296.6231,305.16423,32.26205,-92.1219,11097.408,114.56967,11.33042,-32.53267,536.25351,79.82886,68.09789,21059.973,3.34707,27.03834,47.42922,-223.19361,75.16377,4.97796,11417.499,-2242.293,43.45213,470.50134,0.54675,11.78948,-37.39904,173.29005,-8.10039,12.34755,"0"
"1890",442.12517,98.25802,9478.78102,16.99416,-1.44958,0.66035,36.08844,49.50277,249.42792647702,11.57545,313.18752,2976.05808,-53.56078,57.61226,164.37725,44937.17218,9.75807,3938.93582,14.47414,79.61402,-423.63186,24.74658,16297.86723,85.9098,28.18847,-316.52788,10536.89878,107.91921,6.29926,0.06782,887.96736,22.25159,334.12387,27224.52678,0.13498,19.24305,-12.93482,-13.66523,78.12702,19.1898389895586,10434.79864,-582.75623,123.87191,1074.36413,0.751968839837834,29.4972,-144.880074134175,383.22325,27.39285,8.27523,"0"
"1891",361.38612,103.25643,8608.302,20.65991,1.97519,10.37029,66.67953,58.07778,245.39091,10.59957,298.70169,6396.714,21.49219,0.57831,156.70245,40272.471,17.48633,1967.2866,15.9332,15.28026,283.107,18.83017,748.098,248.99478,26.77055,24.62686,11208.015,128.63532,9.81415,20.79957,422.80302,65.83683,92.94231,31869.375,3.18252,14.33337,-45.7214,-185.49132,95.83893,2.66143,14274.237,4900.5525,-52.9535,171.43395,0.13168,8.41869,-38.80429,288.64977,261.40512,17.29195,"0"
"1892",462.64224,226.1682,1349.0397,25.63688,0.8247,4.61393,72.63975,39.85136,273.91482,12.43766,314.58273,14791.53,32.50638,51.94838,80.47125,16577.112,4.33512,227.33499,14.84459,28.7029,-303.26328,16.76893,2658.6045,130.97442,33.15153,-405.676501583378,6329.9496,128.37243,10.77187,-44.56406,862.8105,34.76662,104.43633,11764.845,0.15789,10.69976,-15.08892,-119.4321,68.72786,15.40549,11188.695,-3581.6175,6.07689,1141.67589297152,0.778997219593112,27.93037,-180.39498,284.49528,139.2006,17.09372,"0"
"1895",539.71524,134.15256,4573.458,28.79315,0.60526,8.32885,83.55141,48.11446,281.38131,17.03472,308.16297,8798.466,-40.28889,59.53203,159.31962,48114.528,10.66602,3043.5141,18.96493,78.55098,-607.8624,23.60525,12988.008,95.38698,25.12456,-493.164289820924,106.41456,89.49645,13.90854,-110.34066,876.7278,5.37611,263.85186,31567.845,2.11277,14.35607,95.84652,-28.80619,78.43575,18.7576551966571,6351.1809,-3372.7131,296.74416,1502.16908022631,0.690609863133547,28.74512,-173.000213110512,137.06367,201.79809,7.50237,"0"
"1897",357.56904,40.07072,5370.7254,18.20675,1.36713,15.63871,79.09608,60.35713,234.35022,13.95491,295.8789,7105.551,64.89098,36.6991,196.97706,101246.46,41.73741,1758.4029,14.79719,52.84337,-36.79494,26.53844,10063.581,289.95042,29.39869,15.58931,9705.885,149.25735,10.09373,35.29046,663.6765,103.77117,30.01183,26322.534,4.45266,24.73236,3.72021,-296.3895,85.974,6.92208,11721.306,-777.6369,13.91972,154.92018,0.48252,12.53985,-38.87681,144.54327,86.60949,14.40485,"0"
"1898",358.62741,87.91302,7738.43132,16.08096,1.14309,6.44362,78.04049,59.21463,240.82831,17.78604,289.29586,11360.79688,24.95234,6.72796,165.7958,65974.48129,25.92435,1663.66461,19.9559,71.48552,69.32959,25.10328,8582.4749,222.34706,33.29877,41.08681,3476.38744,111.98829,6.43966,-77.10517,610.40426,70.11241,51.0643,34496.44927,9.48316679302982,25.06131,51.217,-121.6692,76.29638,7.4748,7678.78804,-1108.26785,166.73808,217.50073,0.30512,12.75124,49.68881,200.45432,98.6892,11.86988,"0"
"1899",258.56853,43.64105,5091.7032,15.3476,0.45635,11.42185,125.09493,59.9276,226.93065,15.31172,293.27346,7379.067,65.15353,14.4604,186.17856,98488.53,62.63123,645.2466,18.8016,103.02321,16.82558,23.63892,9382.758,313.13787,32.07161,22.14458,3404.7429,97.76679,10.74496,-7.45428,416.73999,104.91312,28.58656,25470.798,9.08992,24.8124,40.06223,-279.96681,80.83281,6.22964,8467.404,-860.3748,66.0913,281.1957,0,9.38517,18.36062,63.77877,35.36222,16.66667,"1"
"1900",497.26299,175.11786,2859.7809,26.37366,0,4.32475,46.77669,56.45007,255.94584,15.55239,302.28555,10433.352,44.86842,53.96594,128.88648,36088.242,11.30689,1694.4399,14.11878,26.86508,-318.62199,25.50495,2397.1428,152.56728,31.48994,-391.811664794946,2609.0142,94.22433,11.86117,-105.39543,545.4174,29.09247,143.87121,33235.644,9.40918,18.39043,87.07593,-97.30173,61.53351,7.96529,8765.346,-5203.2762,111.76758,1272.7947,0.507890373421259,20.8705,-125.56344,186.72573,142.64301,6.90538,"0"
"1901",307.326,132.37098,8556.069,20.29469,0.19114,4.21897,61.40772,60.35885,241.30749,11.74994,288.89748,5350.3704,4.2142,3.52703,147.89805,45552.627,21.76633,3983.8461,25.42105,-4.23508,92.19711,23.89194,1892.6079,325.91184,33.96249,84.28557,6911.316,93.6744,17.74563,-38.65891,365.6517,31.27052,73.03926,30376.767,3.23838,17.13187,4.92527,-202.18794,114.8367,2.89787,7445.031,-2012.6403,17.55008,263.17221,0,6.73434,31.09733,107.58135,100.54887,15.85454,"0"
"1903",293.17272,113.91762,13743.489,16.81496,0,0,69.37053,61.97297,230.05221,9.89757,295.16199,416.68272,22.8045,4.30125,161.56971,47824.59,23.74456,471.47424,18.25485,52.37652,71.59509,21.10193,5819.598,225.6231,32.29931,32.30228,2522.4951,99.98583,9.47322,-25.02168,370.3644,73.64646,118.85181,33153.672,6.03657,22.95285,42.83858,-136.02522,87.53064,7.38569,7406.46,-421.49823,86.51634,303.52203,0,12.13137,16.31388,104.40942,61.96938,14.4564,"1"
"1904",231.79012,37.28534,3875.34044,16.07219,0.66825,15.54856,137.2274,64.44483,221.82167,12.62012,286.63231,3673.15928,68.16483,3.84032,199.52245,99969.00339,65.96019,4134.512,22.21519,96.41636,117.27619,22.51094,13457.93964,294.46761,33.68581,51.88008,1980.96965,88.86826,8.1337,11.2495,263.26313,97.64188,56.52087,33815.1922,6.89973,16.40157,46.74458,-244.66483,83.28568,5.53541,9503.86388,2299.97451217917,-11.37674,208.15575,0.30118,7.18715,-7.25804,83.72272,18.0923,19.40422,"1"
"1905",310.1688,92.58834,9243.309,17.22316,0.883,10.71598,45.85892,56.77686,231.00027,8.61624,312.37059,14876.4,58.32425,47.83798,136.46475,53084.667,27.00136,659.08041,16.39854,41.36723,-98.84871,20.56124,3614.4132,221.45343,29.66172,-43.49022,293.7675,99.39933,10.39375,-41.57112,401.58552,84.25935,72.07878,21349.566,6.47815,24.46064,-24.91887,-209.67996,75.78339,5.84363,10714.596,-3538.2372,23.26294,383.79594,0,11.41191,-22.69651,226.46421,161.30406,18.30639,"0"
"1906",451.36695,147.54822,3200.3649,14.36539,0,4.28021,45.92102,57.85436,263.28813,10.05744,312.98124,11195.181,62.80007,41.4581,144.49428,35690.112,16.09266,947.646,18.4141,42.95036,-236.09454,26.66871,3730.7058,201.7008,28.28614,-442.20306,6531.1191,90.52455,11.7843,-47.64726,427.5033,68.63554,86.98623,28896.993,2.75584,16.17519,9.11318,-129.22182,122.03409,7.76995,9535.179,-1957.047,37.48894,1202.84013253202,0.876086708923143,13.10048,-44.23866,197.97135,186.53667,16.47292,"0"
"1907",377.63562,155.11683,4774.2273,18.13513,0,7.97074,54.0793,56.48002,234.48615,10.91759,286.12161,4652.2836,62.75778,34.02825,158.36328,44975.235,13.16872,1864.1661,14.95002,89.86698,-98.82318,20.89168,6232.3146,144.71922,30.40099,-162.45222,8289.384,101.8854,9.74873,-85.15911,608.373,52.72683,164.62917,30769.584,4.10264,19.43268,15.35726,-103.21434,87.51753,10.99839,8266.269,-2328.5154,169.12866,717.5931,0,20.07638,-25.7439,163.87845,143.59866,11.49699,"0"
"1908",354.80628,68.14923,9114.279,23.19152,0.25651,11.49009,47.39596,60.94956,218.53266,12.06969,268.95993,3810.6837,61.41228,5.73384,163.19466,58097.379,24.11709,2193.8619,14.49255,16.26427,4.19618,24.36804,6361.7379,270.83535,30.64649,-36.25205,10412.031,112.96887,19.4571,-22.46088,578.32212,81.17988,56.8226,32685.093,9.87514,13.99272,1.66317,-239.94405,84.3249,5.94229,10209.93,-886.6914,52.3336,256.33362,0.12825,12.51757,17.04293,208.83678,106.32072,13.15561,"0"
"1909",248.13925,166.12084,3526.69754,19.45589,-0.58144,8.14977,70.44947,59.82537,246.14783,10.19748,293.998807516907,7367.20262,42.29002,15.80586,137.5875,33587.94504,16.35199,1150.80093,22.28479,96.20739,22.69897,22.09007,1721.78541,270.75027,34.57795,43.98747,7408.49284,88.37414,11.38945,-81.35899,352.74138,82.72312,89.75285,27774.09087,2.4801,26.40232,170.2459,-177.71515,65.03365,6.11134,7002.35658,-2559.74508,169.95703,263.42897,0.72471,10.58611,10.64018,204.76952,167.37093,15.09056,"0"
"1910",361.66143,86.92344,4050.3483,20.78915,1.02766,13.67235,30.10215,51.70163,225.40506,8.16532,315.04641,-20.02111,-49.5153,42.49489,112.15053,34766.685,13.60646,233.52498,15.56171,84.01026,-135.88239,20.25957,4604.9358,197.22891,33.13421,-28.42586,9015.609,118.05141,7.72117,-8.30912,544.37205,99.89613,78.17355,28070.925,2.06596,21.83664,-26.34254,-204.81615,84.10962,8.55766,11336.355,-1849.1793,42.34778,245.04729,0,17.48322,-42.52332,407.35944,110.88369,17.7281,"0"
"1912",424.12575,46.34226,9961.668,19.54839,3.04291,14.70956,47.47821,60.78921,234.56964,11.74159,289.5378,6464.6997,68.94866,41.00187,185.04351,93817.23,35.40266,1671.5595,11.18476,45.01726,-46.92966,19.07988,13704.435,183.09426,29.75218,-63.22298,15807.831,123.67077,11.06684,15.53418,589.79682,67.8951,71.86626,27853.575,4.49606,14.96603,-31.75546,-199.3893,101.39688,8.14069,14575.56,468.62385,-13.82236,322.97796,0.4112,17.58099,-74.53863,219.9168,86.82132,13.26573,"0"
"1913",224.45148,75.40182,9409.944,19.19835,0,12.78377,55.51395,59.91008,235.01883,15.75767,294.77628,5651.7693,38.51656,9.88066,177.78885,79294.11,40.12847,3491.6277,24.06975,20.67965,72.22782,23.26742,4980.972,374.17665,26.13223,76.70592,4062.3267,86.9607,16.50687,-42.34164,361.64211,64.31932,83.01666,30167.559,6.78854,19.45476,65.01559,-179.74845,109.02621,4.438,7787.616,-2581.4418,19.11859,360.01716,0,7.43282,25.07633,74.53518,14.22407,11.95618,"0"
"1914",560.65398,108.34725,7510.65,21.09337,0.57025,0.3169,188.99169,54.9597795350819,303.64209,16.34582,314.502,19382.652,62.97175,49.75618,162.30801,54373.104,22.60357,2373.3999,18.05785,57.9166,-309.16278,25.85126,6504.8646,190.70496,34.06847,-500.181,969.6087,91.07034,17.17396,-111.67788,495.20955,58.71686,218.37603,30798.771,9.56333,19.76912,98.11248,-63.38409,60.84958,6.80822,7467.939,-4546.1478,197.85543,1418.985,1.0238602014308,14.11347,-58.80842,109.36845,5.35321,12.15939,"0"
"1915",433.9824,92.90022,8862.498,17.723,0.16312,4.23184,33.25821,57.47183,237.08883,10.10933,289.70409,4660.5567,6.31933,41.01574,171.24558,44523.837,14.7237,2092.5975,15.65955,59.66823,-113.73408,17.94324,5985.8742,123.01044,26.36069,-54.05543,13229.301,118.52889,6.21723,-22.88102,610.30017,56.14489,196.36365,31618.491,2.93242,20.36556,-16.99739,-78.25083,76.15047,13.66317,12152.487,-2197.2222,7.15799,320.1807,0.32624,23.10286,-66.76889,297.3762,57.94634,14.32958,"0"
"1916",313.98169,164.05335,9559.73613,15.5358,0.34995,2.69732,62.55556,63.13719,225.8519,12.15106,279.28148,-63.49358,-69.22912,4.82141,155.50109962236,36135.82097,19.50846,1358.28824,15.78248,69.47001,1.82229,25.22818,2673.89139,187.38329,33.884,21.15181,6714.68635,103.35358,10.30944,-65.70592,405.18167,63.15066,109.12652,34276.26437,4.83733,18.40818,-2.85228,-114.48721,96.17801,4.69524,6956.19784,-1611.17566,80.55172,305.61461,-0.344617495973279,13.94811,13.63755,103.10931,88.14743,6.94107,"0"
"1917",319.98405,57.77322,1027.1685,17.38241,0.8145,20.71594,78.76281,60.44366,216.91875,9.37724,307.16454,1003.6602,59.55259,24.58325,234.04317,74425.47,35.56046,403.75695,15.01012,57.62639,-48.21278,23.62056,13296.852,220.11966,33.79109,23.98709,21502.401,99.07917,10.34,44.9101,313.08957,106.3635,97.09611,34008.237,6.2029,19.36499,21.8089,-139.91337,78.13629,8.32975,8250.675,162.05961,135.21171,140.23974,0,14.18847,-13.84195,117.44007,69.20907,19.0963,"1"
"1918",334.49268,85.05837,9183.486,21.57671,0,8.64825,44.05954,53.05272,232.31403,9.78606,304.49286,33978.843,42.89213,14.88958,110.54214,45653.988,21.84837,2138.1513,18.00507,25.24793,-23.01116,19.05049,2449.7898,341.78184,32.90872,3.1761,10177.155,125.09631,12.05603,-23.10086,573.90957,69.25599,95.01576,7026.546,3.72087,20.89706,-10.66485,-184.96899,81.58905,4.05803,12447.738,-1250.7216,33.98471,260.69028,0,7.49499,2.09245,269.37669,88.62843,20.12019,"0"
"1919",578.97328574358,280.380372337568,1946.09264276037,20.3917043047264,-0.159350381877507,3.95615893826792,54.7792018319301,42.6287207906724,282.503984388264,8.33658217039908,329.601944796828,17335.7936656152,-29.1507827591397,50.8399323804273,8.19249434241033,-68931,-46.1477803489792,2569.54166044315,25.3199568727947,102.381983141435,-230.474892267062,11.5256667331378,-7136.49523247178,311.928161252125,25.7319999858081,-190.274562686036,5494.67647148654,105.29538084114,9.13294256019211,-105.35265265641,606.00262111809,85.2482993595251,171.816253151882,18533.0690212555,3.8962231643331,29.3287809540921,11.6910607183643,-77.5535480478871,20.4763761625563,10.1260622123875,7928.78135214143,-5646.44138863215,189.710270765787,851.708881960853,0.396739505276698,15.9953495471384,-39.7973985122215,404.291424126273,223.294505147543,14.3965411157262,"0"
"1920",247.54578,126.87927,5677.6167,17.84009,0.96729,8.77052,47.0135,56.48623,243.60933,11.6216,312.21741,21936.894,20.09867,24.56124,134.16981,46020.309,18.54768,854.4891,19.02337,43.32275,6.39049,17.89487,3996.8457,199.47693,33.36895,-33.87003,8923.356,85.89051,10.30267,-30.34682,516.31596,65.82221,102.75135,21467.97,3.11811,21.86665,54.63931,-164.29659,81.21438,7.68688,8959.65,-1487.1156,8.38447,410.5155,0,12.70821,-5.64867,93.72339,164.20689,13.22792,"0"
"1921",308.86056,24.35976,19932.1035670576,13.75901,2.54508,2.49924,70.8078,63.25603,227.78556,13.3506,326.59632,-36.92156,65.91749,34.65422,261.89847,155305.89,88.67604,2678.0004,16.18954,46.34647,-59.58219,21.98671,23823.147,198.47781,30.92953,-0.20905,4142.5254,91.12761,7.96964,8.23577,351.78339,100.27425,30.50262,29088.33,6.52145,16.24053,60.27978,-303.12666,121.56903,6.85182,12995.184,3961.5798,-42.09863,159.8799,0.0707,11.82826,-57.3014,89.53854,62.07192,17.00029,"1"
"1922",233.33982,39.34728,10789.94004,24.38573,0.25059,5.21747,87.55785,58.86655,265.39611,18.52944,300.2687,4438.13857,67.1416,9.10784,180.16008,110704.26059,66.86159,2710.71511,29.78672,30.89834,136.96502,20.41419,8690.98572,342.78644,27.81977,74.38513,5169.90825,85.07226,19.5512,-77.49201,400.94913,69.55742,71.41771,31134.57435,14.19601,25.5788737394584,138.45302,-172.80189,71.58144,4.7101,5247.10063,-3793.53073,138.53601,325.93433,0.8541,9.55307,25.07832,33.74791,-17.99704,9.87761,"0"
"1923",401.12598,105.59001,9170.1,24.66012,0.11897,9.96429,30.50442,50.86749,235.68192,9.26642,299.13639,28642.521,-16.2208,30.55299,96.84564,41740.377,16.16311,1543.9716,15.82239,55.74193,-111.62682,14.39485,2505.5004,175.74783,33.92061,-129.33774,10986.525,115.02783,10.64111,-21.82794,693.8571,60.64955,61.62666,13220.262,4.61582,22.0375,-32.08486,-213.28107,83.80671,5.34562,11484.774,-2711.7483,17.10248,575.9913,0,17.01299,-28.83213,259.08051,128.39175,14.67244,"0"
"1924",338.48364,159.17955,4549.4736,14.90835,1.02475,8.07721,49.30105,58.82629,230.36961,8.68524,304.81716,14576.457,59.4593,32.58021,141.48519,41596.581,17.5714,991.4679,15.37127,110.7726,-66.84962,17.25,3350.2536,256.63446,30.25264,-206.20926,9128.907,100.39569,9.75405,-31.93651,403.88253,81.89748,78.94428,26318.877,4.55084,27.72199,24.62182,-181.52589,89.66412,6.71186,9764.673,-2159.2791,54.93456,757.9167,0.51238,11.11928,-26.90055,131.36703,10.31867,11.02137,"0"
"1925",304.45764,73.61596,250.38153,16.57726,0.61619,11.55853,99.33215,58.36021,234.63395,13.13798,299.62564,12988.95773,35.11846,13.13646,147.14685,66368.68268,35.60575,166.14468,19.32318,105.45476,47.64339,20.39945,5125.11906,298.50931,34.73697,-0.518944504737931,751.35699,99.21377,11.09635,-3.99854,430.96946,96.73055,38.0076,23772.01382,6.58717,23.02646,41.80447,-299.39771,74.24445,7.21309,8561.21184,-1041.54302,72.14936,303.41652,0.0907056240947586,6.99402,20.89299,134.40522,79.2814,18.41797,"1"
"1926",372.01409,190.89796,19173.93351,17.35014,0.98319,0.70844,40.04483,52.15654,249.99118,6.77971,321.74252,-10.39305,-62.25244,2.52126,140.84711,26459.88898,12.44106,821.67122,24.58162,57.75884,9.92464,18.28163,3366.04409,143.13409,30.3676,38.01829,6597.14719,89.07109,4.83068,-17.85683,445.63938,94.96996,131.14832,29889.40806,1.44262,10.52428,-22.53842,-130.97999,111.84823,6.97162,8255.36604,1805.33591,16.08415,228.13446,-0.595835268689001,16.30334,32.54123,271.39302,305.2222,27.30225,"0"
"1927",268.94751,117.8382,3797.5668,19.61263,1.07476,10.56466,106.40697,61.58919,243.09183,17.53421,301.78599,9340.254,50.52339,6.65813,175.48632,47732.268,23.00336,2898.8556,22.35517,33.11855,22.22952,19.77568,2135.0118,440.77131,29.04935,43.46972,7555.5,125.95674,17.03306,-78.17907,390.72837,53.39137,61.85974,29429.328,11.32614,26.96906,54.86459,-232.57071,51.91705,3.335,7069.395,-3786.6165,112.40169,310.23228,0,4.89473,-27.38996,4.1772,-12.84739,14.76158,"0"
"1928",410.76597,105.66315,9564.09,22.01762,0,8.30884,47.03654,50.97803,241.95333,11.60463,308.47347,21690.426,-8.54186,43.25479,97.01607,42783.933,15.84716,780.4866,16.42856,55.29557,-128.50905,15.13777,3906.9801,187.57581,33.65385,-202.79238,9761.085,107.22462,9.92813,-50.83541,649.07058,60.15275,69.46851,15696.051,3.32448,21.25593,33.15995,-160.93767,77.07438,8.10205,11094.372,-2936.0397,51.48263,742.785,0,17.83471,-47.99944,203.60313,134.24433,16.23073,"0"
"1931",362.7468,78.38814,8484.516,17.96339,1.0192,13.44534,67.44564,52.87718,243.64728,14.27658,309.47328,29595.618,57.09336,30.25988,108.89235,51724.056,25.61998,683.49744,16.51108,48.98358,-29.68132,19.7725,3372.7614,281.04528,33.749,-50.60936,10068.825,118.26738,12.5462,-2.53351,480.47529,79.67982,68.62209,9985.68,5.59546,21.11069,-14.87364,-181.72254,88.00536,5.65895,12999.255,-404.03019,-0.04245,300.70683,0.10192,8.40613,-22.64449,188.64807,99.04191,17.92165,"0"
